Comment,Designator,Footprint,LCSC
10n,C1,fab:fab-C1206FAB,C1944
100n,C2,fab:fab-C1206FAB,C24497
1uF,"C3,C4",fab:fab-C1206FAB,C1848
1.5 kΩ,"FB1,FB2",fab:fab-R1206FAB,C21517
10k,"R1,R2,R3,R4,R5,R6",fab-R1206FAB,C17902
NMOSFET,"T1,T2",fab-SOT-23,C431497
ADS1115IDGS,U1,Package_SO:TSSOP-10_3x3mm_P0.5mm,C37593
