Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10n","fab-C1206FAB",157.988000,-97.942400,90.000000,top
"C2","100n","fab-C1206FAB",150.012400,-97.942400,90.000000,top
"C3","1uF","fab-C1206FAB",154.025600,-97.942400,90.000000,top
"GROVEIN1","GROVE-CONNECTOR-SMD-90D_4+2P-2.0_","HW4-SMD-2.0-90D",141.600000,-68.700000,90.000000,top
"GROVEOUT1","GROVE-CONNECTOR-DIP_4P-2.0_","HW4-SMD-2.0-90D",170.900000,-68.700000,270.000000,top
"M2","PINHD-2X2-SMD","fab-2X02SMD",142.600000,-102.800000,90.000000,top
